LundTax2023
TCGA-E5-A4TZ-01A	UroB
TCGA-E5-A4U1-01A	UroA
TCGA-E7-A3X6-01A	UroB
TCGA-E7-A3Y1-01A	UroA
TCGA-E7-A4IJ-01A	UroC
TCGA-E7-A4XJ-01A	UroA
TCGA-E7-A519-01A	UroB
TCGA-E7-A541-01A	GU
TCGA-E7-A5KE-01A	GU
TCGA-E7-A5KF-01A	UroA
TCGA-E7-A677-01A	UroA
TCGA-E7-A678-01A	UroA
TCGA-E7-A6MD-01A	UroB
TCGA-E7-A6ME-01A	GU
TCGA-E7-A6MF-01A	UroB
TCGA-E7-A7DU-01A	UroA
TCGA-E7-A7DV-01A	GU
TCGA-E7-A7PW-01A	UroA
TCGA-E7-A7XN-01A	BaSq
TCGA-E7-A85H-01A	UroC
TCGA-E7-A8O7-01A	UroA
TCGA-E7-A8O8-01A	UroA
TCGA-E7-A97P-01A	BaSq
TCGA-E7-A97Q-01A	UroA
TCGA-FD-A3B3-01A	BaSq
TCGA-FD-A3B4-01A	BaSq
TCGA-FD-A3B5-01A	BaSq
TCGA-FD-A3B6-01A	BaSq
TCGA-FD-A3B7-01A	BaSq
TCGA-FD-A3B8-01A	BaSq
TCGA-FD-A3N5-01A	BaSq
TCGA-FD-A3N6-01A	BaSq
TCGA-FD-A3NA-01A	UroB
TCGA-FD-A3SJ-01A	UroC
TCGA-FD-A3SL-01A	GU
TCGA-FD-A3SM-01A	UroB
TCGA-FD-A3SN-01A	BaSq
TCGA-FD-A3SO-01A	BaSq
TCGA-FD-A3SP-01A	BaSq
TCGA-FD-A3SQ-01A	UroB
TCGA-FD-A3SR-01A	GU
TCGA-FD-A3SS-01A	GU
TCGA-FD-A43N-01A	UroA
TCGA-FD-A43P-01A	GU
TCGA-FD-A43S-01A	UroB
TCGA-FD-A43U-01A	UroC
TCGA-FD-A43X-01A	UroA
TCGA-FD-A43Y-01A	BaSq
TCGA-FD-A5BR-01A	UroB
TCGA-FD-A5BS-01A	Mes
TCGA-FD-A5BT-01A	BaSq
TCGA-FD-A5BU-01A	BaSq
TCGA-FD-A5BV-01A	UroA
TCGA-FD-A5BX-01A	Mes
TCGA-FD-A5BY-01A	BaSq
TCGA-FD-A5BZ-01A	UroA
TCGA-FD-A5C0-01A	UroB
TCGA-FD-A5C1-01A	BaSq
TCGA-FD-A62N-01A	BaSq
TCGA-FD-A62O-01A	UroA
TCGA-FD-A62P-01A	UroB
TCGA-FD-A62S-01A	BaSq
TCGA-FD-A6TA-01A	UroB
TCGA-FD-A6TB-01A	UroB
TCGA-FD-A6TC-01A	UroB
TCGA-FD-A6TD-01A	BaSq
TCGA-FD-A6TE-01A	GU
TCGA-FD-A6TF-01A	GU
TCGA-FD-A6TG-01A	UroB
TCGA-FD-A6TH-01A	GU
TCGA-FD-A6TI-01A	UroB
TCGA-FD-A6TK-01A	BaSq
TCGA-FJ-A3Z7-01A	GU
TCGA-FJ-A3Z9-01A	UroA
TCGA-FJ-A3ZE-01A	UroA
TCGA-FJ-A3ZF-01A	GU
TCGA-FJ-A871-01A	ScNE
TCGA-FT-A3EE-01A	UroB
TCGA-FT-A61P-01A	GU
